"iso","country","year","region","type","consumption","per_capita","percent"
"ARE","United Arab Emirates",2008,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2009,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2009,"Middle East and North Africa","Coal",0.01147,0.00143,0.00344
"ARE","United Arab Emirates",2009,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2009,"Middle East and North Africa","Natural Gas",2.07317,0.25938,0.62219
"ARE","United Arab Emirates",2009,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2009,"Middle East and North Africa","Oil",1.24737,0.15606,0.37435
"ARE","United Arab Emirates",2009,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2009,"Middle East and North Africa","Solar",6e-05,1e-05,2e-05
"ARE","United Arab Emirates",2009,"Middle East and North Africa","Total",3.33207,0.41689,1
"ARE","United Arab Emirates",2009,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2010,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2010,"Middle East and North Africa","Coal",0.02755,0.00325,0.00787
"ARE","United Arab Emirates",2010,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2010,"Middle East and North Africa","Natural Gas",2.13378,0.25157,0.60948
"ARE","United Arab Emirates",2010,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2010,"Middle East and North Africa","Oil",1.33946,0.15792,0.3826
"ARE","United Arab Emirates",2010,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2010,"Middle East and North Africa","Solar",0.00018,2e-05,5e-05
"ARE","United Arab Emirates",2010,"Middle East and North Africa","Total",3.50097,0.41276,1
"ARE","United Arab Emirates",2010,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2011,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2011,"Middle East and North Africa","Coal",0.01863,0.00217,0.00507
"ARE","United Arab Emirates",2011,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2011,"Middle East and North Africa","Natural Gas",2.2189,0.25876,0.60372
"ARE","United Arab Emirates",2011,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2011,"Middle East and North Africa","Oil",1.43762,0.16765,0.39115
"ARE","United Arab Emirates",2011,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2011,"Middle East and North Africa","Solar",0.00021,2e-05,6e-05
"ARE","United Arab Emirates",2011,"Middle East and North Africa","Total",3.67535,0.4286,1
"ARE","United Arab Emirates",2011,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2012,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2012,"Middle East and North Africa","Coal",0.05788,0.00668,0.01497
"ARE","United Arab Emirates",2012,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2012,"Middle East and North Africa","Natural Gas",2.30151,0.26561,0.5952
"ARE","United Arab Emirates",2012,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2012,"Middle East and North Africa","Oil",1.50714,0.17393,0.38977
"ARE","United Arab Emirates",2012,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2012,"Middle East and North Africa","Solar",0.00024,3e-05,6e-05
"ARE","United Arab Emirates",2012,"Middle East and North Africa","Total",3.86676,0.44625,1
"ARE","United Arab Emirates",2012,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2013,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2013,"Middle East and North Africa","Coal",0.07409,0.00847,0.01816
"ARE","United Arab Emirates",2013,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2013,"Middle East and North Africa","Natural Gas",2.33099,0.26634,0.57136
"ARE","United Arab Emirates",2013,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2013,"Middle East and North Africa","Oil",1.67375,0.19125,0.41026
"ARE","United Arab Emirates",2013,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2013,"Middle East and North Africa","Solar",0.00084,1e-04,0.00021
"ARE","United Arab Emirates",2013,"Middle East and North Africa","Total",4.07968,0.46615,1
"ARE","United Arab Emirates",2013,"Middle East and North Africa","Wind",1e-05,0,0
"ARE","United Arab Emirates",2014,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2014,"Middle East and North Africa","Coal",0.08261,0.00935,0.02029
"ARE","United Arab Emirates",2014,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2014,"Middle East and North Africa","Natural Gas",2.28366,0.25845,0.56094
"ARE","United Arab Emirates",2014,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",2014,"Middle East and North Africa","Oil",1.70186,0.19261,0.41803
"ARE","United Arab Emirates",2014,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2014,"Middle East and North Africa","Solar",0.00301,0.00034,0.00074
"ARE","United Arab Emirates",2014,"Middle East and North Africa","Total",4.07116,0.46075,1
"ARE","United Arab Emirates",2014,"Middle East and North Africa","Wind",3e-05,0,1e-05
"ARE","United Arab Emirates",2015,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2015,"Middle East and North Africa","Coal",0.07179,0.00805,0.01624
"ARE","United Arab Emirates",2015,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2015,"Middle East and North Africa","Natural Gas",2.57294,0.28855,0.58211
"ARE","United Arab Emirates",2015,"Middle East and North Africa","Nuclear",0,0,0
